Id,Culture,Text
1,0,The Amba's swear\nBook 1
1,1,Проклятие Амбы
1,2,HGJGHJHGJGJH
2,0,The Amba's swear\nBook 2
2,1,Проклятие Амбы\nКнига 2
3,0,Ashes
3,1,Тлен
4,0,Ritual svayamvara
4,1,Обряд сваямвара
5,0,The chase
5,1,Погоня
6,0,Hastinapur
6,1,Хастинапур
7,0,The valley of saints
7,1,Долина святых
8,0,Ram of the axe
8,1,Рама с топором
9,0,Calling for the gods
9,1,Взывая к богам
10,0,King Arjun Kartavirya
10,1,Король Арджуна Картавирья
11,0,Magic cow Kamadhenu. The curse of Rama
11,1,Волшебная корова Камадхену. Проклятие Рамы
12,0,The brahmanas do not have to fight!
12,1,Брахманы не должы сражаться!
13,0,Sneaky revenge
13,1,Подлая месть
14,0,Defy the kshatriyas
14,1,Вызов кшатриям
15,0,Kshatriyas extermination
15,1,Истребление кшатриев
16,0,"The yogis, abandoning attachment, act with body, mind, intelligence and even with the senses, only for the purpose of purification."
16,1,"Отказавшись от всех привязанностей, йоги позволяют действовать своему телу, уму, разуму и даже чувствам только ради самоочищения."
17,0,/Images/91845d0884304b0484066826afecaed6.jpg
17,1,/Images/6491b74043c3470fb93ad38727c218bc.jpg
18,0,"One who performs his duty without attachment, surrendering the results unto the Supreme Lord, is unaffected by sinful action, as the lotus leaf is untouched by water."
18,1,"Подобно тому, как вода не смачивает лист лотоса, грех никогда не пятнает того, кто исполняет свой долг без привязанности к плодам своего труда, жертвуя их Верховному Господу."
19,0,/Images/835c25d48ebe4c1ba38454410d794c6a.jpg
19,1,/Images/5fb1a6f6c8d547e99e450969fbaed674.jpg
20,0,"A faithful man who is dedicated to transcendental knowledge and who subdues his senses is eligible to achieve such knowledge, and having achieved it he quickly attains the supreme spiritual peace."
20,1,"Человек, исполненный веры, обуздавший свои чувства и пытливо ищущий духовное знание, достоин получить его, и, когда он обретает его, к нему тотчас приходит высший покой."
21,0,/Images/3147a0bdc37c41308847e832db67eb13.jpg
21,1,/Images/31441daa3bff40229cd5ce0c30e23268.jpg
22,0,"As a blazing fire turns firewood to ashes, O Arjuna, so does the fire of knowledge burn to ashes all reactions to material activities."
22,1,"О Aрджуна, подобно тому как пламя костра превращает дрова в пепел, огонь знания сжигает дотла все последствия материальной деятельности."
23,0,/Images/6a484c90f90949239eea3ae73807d87e.jpg
23,1,/Images/229f903a1e5f442ab81b5ca988779fdb.jpg
24,0,"Even if you are considered to be the most sinful of all sinners, when you are situated in the boat of transcendental knowledge you will be able to cross over the ocean of miseries."
24,1,"Даже если ты самый грешный из всех грешников, взойдя на корабль духовного знания, ты сможешь пересечь океан страданий."
25,0,/Images/6df22e2e837e4805901727c25cec1ef2.jpg
25,1,/Images/f7b07530907a47aeb6aef5919926c3a7.jpg
26,0,"The senses, the mind and the intelligence are the sitting places of this lust. Through them lust covers the real knowledge of the living entity and bewilders him. """
26,1,"Оплотом вожделения являются чувства, ум и разум. С их помощью вожделение покрывает истинное знание живого существа и повергает его в иллюзию."
27,0,/Images/cc500ca152dc4031819c7e42be100c07.jpg
27,1,/Images/99cf288179594ad2bf936cd899ce4d41.jpg
28,0,"As fire is covered by smoke, as a mirror is covered by dust, or as the embryo is covered by the womb, the living entity is similarly covered by different degrees of this lust.   """
28,1,"Как огонь покрыт дымом, зеркало - пылью, а зародыш - чревом, так и живые существа, каждое в разной степени, покрыты вожделением. "
29,0,/Images/ccffd3229fad4197b2a41abbbc2b2d0a.jpg
29,1,/Images/7c3a0fc7069b4c74a6863e69bc00cfa7.jpg
30,0,"It is far better to discharge one’s prescribed duties, even though faultily, than another’s duties perfectly. Destruction in the course of performing one’s own duty is better than engaging in another’s duties, for to follow another’s path is dangerous"
30,1,"Гораздо лучше выполнять собственные обязанности, пусть даже несовершенным образом, чем безукоризненно выполнять чужие. Лучше погибнуть, исполняя свой долг, чем пытаться исполнять чужой, ибо этот путь чрезвычайно опасен."
31,0,/Images/35de549a9be44308978ae8ff5d4ce45a.jpg
31,1,/Images/1a64296bbb7749b889716668015e7caa.jpg
32,0,"All purposes served by a small well can at once be served by a great reservoir of water. Similarly, all the purposes of the Vedas can be served to one who knows the purpose behind them."
32,1,"Все, чему служит маленький водоем, можно исполнить с помощью большого резервуара воды. Подобно этому, все назначение Вед открывается тому, кто знает их конечную цель."
33,0,/Images/c89d14a2e7c94f378f89e6133d06b72c.jpg
33,1,/Images/f455cc7705324d34874ae4501610ac49.jpg
34,0,"Those who are on this path are resolute in purpose, and their aim is one. O beloved child of the Kurus, the intelligence of those who are irresolute is many-branched."
34,1,"Находящиеся на этом пути тверды в своих намерениях, и преследуют только одну цель. О возлюбленный сын Куру, многоветвист разум тех, кто нерешителен."
35,0,/Images/3fe74aedd30442d9bd290ee18475a91d.jpg
35,1,/Images/8e73366a466d4577a5e49c69f9c97462.jpg
36,0,The intelligence of those who are irresolute is many-branched.
36,1,"Многоветвист разум тех, кто нерешителен. "
37,0,/Images/442fa14a2b4c4d2cbb4bd78f03d7877a.jpg
37,1,/Images/b8f65ed05d6f43689c21f1e50d1bf429.jpg
38,0,"While contemplating the objects of the senses, a person develops attachment for them, and from such attachment lust develops, and from lust anger arises."
38,1,"Созерцая объекты чувств, человек развивает привязанность к ним, из привязанности рождается вожделение, из вожделения возникает гнев."
39,0,/Images/ec026787e65b44ad8621a270982ecc2a.jpg
39,1,/Images/ea106b53591a4bdd89aac53fab217b7a.jpg
40,0,What is night for all beings is the time of awakening for the self-controlled; and the time of awakening for all beings is night for the introspective sage.
40,1,"То, что для всех существ - ночь, для сладеющего собой - время пробуждения. Когда же все живые существа пробуждаются, для мудреца, обладающего внутренним видением, наступает ночь."
41,0,/Images/539d9d6b9d7e4fe88e79e3d450c122f2.jpg
41,1,/Images/41f9fa6b46c44a00be1544ae7cec2332.jpg
42,0,"Work done as a sacrifice for Vishnu has to be performed, otherwise work causes bondage in this material world. Therefore, O son of Kunti, perform your prescribed duties for His satisfaction, and in that way you will always remain free from bondage."
42,1,"Любая деятельность должна выполняться как жертвоприношение Вишну, иначе она явится причиной рабства в этом материальном мире. Поэтому, о сын Кунти,выполняй предписанные тебе обязанности ради Его удовлетворения, и ты будешь всегда свободен от этого рабства."
43,0,/Images/05caa316fbd14ee289784930036c1c7b.jpg
43,1,/Images/236731ff49564b6cab0e5345dfd13d40.jpg
44,0,"All living bodies subsist on food grains, which are produced from rains. Rains are produced by performance of yajna [sacrifice], and yajna is born of prescribed duties."
44,1,"Все живые тела кормятся злаками, а злаки возникают из земли, питаемой дождями. Дожди вызываются совершением ягьи, а ягья рождается из выполнения предписанных обязанностей."
45,0,/Images/0ff5e492e5ab42c8aea9b38e88f990b0.jpg
45,1,/Images/b32a98f036ab473ba634adf1924c6304.jpg
46,0,"Whatever action a great man performs, common men follow. And whatever standards he sets by exemplary acts, all the world pursues."
46,1,"Что бы ни делал великий человек, обыкновенные люди идут за ним. И какие бы нормы он ни устанавливал на примере своих действий, весь мир следует им."
47,0,/Images/f058d50d5fa84fd196291fd328232d0b.jpg
47,1,/Images/d12da55ee88848c98b784ceff0d68132.jpg
48,0,The spirit soul bewildered by the influence of false ego thinks himself the doer of activities that are in actuality carried out by the three modes of material nature.  
48,1,"Душа, введенная в заблуждение влиянием ложного эго, считает себя совершающей действия, которые в действительности выполняются тремя гунами материальной природы."
49,0,/Images/d006fff608034053b26686b3f3fc180d.jpg
49,1,/Images/7c2f879ad71f4e8886c5b9658246ca85.jpg
50,0,"He who is regulated in his habits of eating, sleeping, recreation and work can mitigate all material pains by practicing the yoga system."
50,1,"Тот, кто соблюдает режим еды, сна, отдыха и работы, может облегчить все свои материальные страдания, занимаясь йогой."
51,0,/Images/59c7b4d12f324c3ea1cbd2566e8bfc9b.jpg
51,1,/Images/f84f8c56aee34b75acd8100e5ffb7cf5.jpg
52,0,Vaishnava Thakur
52,1,Vaishnava Thakur
53,0,Kartiki
53,1,Kartiki
54,0,Tulasi Maharani
54,1,Tulasi Maharani
55,0,Kartiki
55,1,Kartiki
56,0,Jagannatha Swami
56,1,Jagannatha Swami
57,0,Manasa K.
57,1,Manasa K.
58,0,Ekachakra
58,1,Ekachakra
59,0,Bhakti Lalita Devi 
59,1,Bhakti Lalita Devi 
60,0,Gaura Lila
60,1,Gaura Lila
61,0,Bhakti Lalita Devi 
61,1,Bhakti Lalita Devi
62,0,Om Purnam
62,1,Om Purnam
63,0,Samskara
63,1,Samskara
64,0,I am Bhumi
64,1,I am Bhumi
65,0,Samskara
65,1,Samskara
66,0,Vasudeva
66,1,Vasudeva
67,0,Samskara
67,1,Samskara
68,0,Robot
68,1,Robot
69,0,Samskara
69,1,Samskara
70,0,MahaKali
70,1,MahaKali
71,0,Samskara
71,1,Samskara
72,0,Sarvesham
72,1,Sarvesham
73,0,Samskara
73,1,Samskara
74,0,Laksmi
74,1,Laksmi
75,0,Samskara
75,1,Samskara
76,0,The last surviving kshatriyas 
76,1,Последние из кшатриев
77,0,Insomnia
77,1,Бессонница
78,0,Ram vs. Ram
78,1,Рама против Рамы
79,0,Inner Peace
79,1,Внутренний мир
80,0,Dattatreya’s Ashram
80,1,Ашрам Даттатреи
81,0,The Blood Curse and the three-headed sage
81,1,Кровавое проклятие и трехголовый мудрец
82,0,Thus Spoke Dattatreya
82,1,Так говорил Даттатрея
83,0,Amba's Plea
83,1,Просьба Амбы
84,0,The Duel of the Century
84,1,Дуэль века
85,0,Jagannatashtakam
85,1,Jagannatashtakam
86,0,Bhakti Lalita Devi
86,1,Bhakti Lalita Devi
88,0,The Amba's swear\nBook 3
88,1,Проклятие Амбы\nКнига 3
90,0,NULL
90,1,NULL
94,0,LK
94,1,М К
97,0,LK2
97,1,М К22
101,0,Little Krishna and Demons\nBook 1
101,1,Маленький Кришна и Демоны\nКнига 1
102,0,Who was the rakshasi Putana in her previos life
102,1,Кем была демоница Путана в своей прошлой жизни
103,0,Little Krishna and the demon Utkacha
103,1,Маленький Кришна и демон Гхатоткача
104,0,Short stories from the Mahabharata
104,1,Короткие рассказы из Махабхараты
105,0,3 curses of Karna
105,1,3 проклятия
106,0,Little Krishna and the demon Trinavarta
106,1,Маленький Кришна и демон Тринаварта
107,0,Little Krishna and the  Arjuna trees 
107,1,Маленький Кришна и деревья Арджуна
